Call  Failure,Complains,Subscription  Length,Charge  Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Tariff Plan,Status,Age,Customer Value,FN,FP,Churn
8,0,38,0,4370,71,5,17,1,1,5,197.64,177.876,69.764,0
O,0,39,0,,5,7,4,1,1,6,46.035,41.4315,60,0
10,0,37,0,2453,60,359,24,1,1,2,1536.52,1382.868,203.652,0
10,0,38,0,4198,66,1,35,1,1,10,240.02,216.018,74.002,0
3,0,,0,2393,58,2,33,1,1,9,145.805,131.2245,64.5805,0
11,0,38,-1,3775,82,32,0,1,1,15,282.28,254.052,78.228,0
4,0,38,0,2360,39,285,18,1,1,1,1235.96,1112.364,173.596,0
13,0,37,2,9115,121,144,43,1,1,15,945.44,850.896,144.544,0
7,0,38,0,13773,169,,44,1,1,15,557.68,501.912,105.768,0
7,0,38,1,-4515,83,2,25,1,1,11,191.92,172.728,69.192,0
6,0,38,0,5918,95,7,12,1,1,26,268.52,241.668,76.852,0
9,0,38,0,2238,54,8,17,1,1,13,123.68,111.312,62.368,0
25,0,38,-3,15140,225,54,32,1,1,0,830.6,747.54,133.06,0
4,0,38,1,3095,27,483,8,1,1,9,2056.88,1851.192,255.688,0
9,0,37,0,15485,182,150,30,1,1,0,1380.015,1242.0135,188.0015,0
3,0,37,1,6500,86,186,26,1,1,25,1007.44,906.696,150.744,0
0,0,37,0,875,14,0,11,1,1,7,40.005,36.0045,60,1
2,0,38,0,710,14,13,8,1,1,9,80.96,72.864,60,0
0,0,37,0,0,,0,0,1,1,3,null,0,60,1
3,0,-37,0,7508,127,384,43,1,1,12,2071.575,1864.4175,257.1575,0
7,0,-37,1,11465,154,11,47,1,1,3,317.975,286.1775,81.7975,0
8,0,-37,1,6718,75,108,37,1,1,0,791.685,712.5165,129.1685,0
23,1,33,OOO,955,47,16,17,1,1,11,117.09,105.381,61.709,1
21,-1,36,8,10435,93,1,42,2,1,15,159.42,143.478,65.942,0
13,1,36,1,,98,26,24,1,1,7,383.22,344.898,88.322,1
1,0,34,0,2840,22,0,14,1,1,15,114.48,103.032,61.448,0
9,0,35,0,2990,41,9,16,1,1,14,157.24,141.516,65.724,1
9,1,36,0,2268,44,34,31,1,1,2,228.48,205.632,72.848,1
0,0,36,0,133,2,0,2,1,1,14,5.4,4.86,60,1
1,0,36,0,1668,25,0,6,1,1,5,67.72,60.948,60,0
3,0,33,1,6785,97,14,22,1,1,1,124.23,111.807,62.423,0
0,-1,36,0,628,7,9,4,1,1,0,38.375,34.5375,60,1
O',0,36,1,338,4,4,2,1,1,0,11.13,10.017,60,0
25,0,31,3,16075,238,0,80,2,1,11,734.085,660.6765,123.4085,0
6,,34,3,6965,116,271,33,2,1,3,1538.145,1384.3305,203.8145,0
2,0,36,0,3718,82,2,28,1,1,2,180,162,68,0
3,0,35,0,1665,44,38,20,1,1,4,220.36,198.324,72.036,0
6,0,36,0,2780,53,175,23,1,1,11,914.985,823.4865,141.4985,0
4,0,,1,1315,36,193,11,2,1,9,929.295,836.3655,142.9295,0
4,0,26,0,1568,39,30,68,1,1,2,115.175,103.6575,61.5175,0
11,0,27,0,700,25,10,7,1,1,5,77.625,69.8625,60,0
0,0,26,0,825,10,21,3,1,1,15,73.375,66.0375,60,1
10,0,25,0,1225,32,19,13,1,1,9,142.065,127.8585,64.2065,0
2,0,25,0,3225,61,8,23,1,1,11,163.44,147.096,66.344,0
2,0,,0,1695,26,28,14,1,1,2,203.445,183.1005,70.3445,0
16,0,17,1,6393,141,85,42,2,1,7,676.53,608.877,117.653,0
12,0,15,0,8933,171,73,40,1,1,15,410.1,369.09,91.01,0
8,0,16,3,2853,45,31,19,2,1,2,239.92,215.928,73.992,0
2,0,9,1,4390,40,215,10,1,1,8,1037.2,933.48,153.72,0
3,0,9,1,-1488,19,0,7,1,1,12,60.28,54.252,60,1
11,0,40,1,4430,74,10,19,1,1,9,220.16,198.144,72.016,0
3,0,41,1,378,8,12,6,1,1,15,63.44,57.096,60,0
13,0,39,1,2513,63,364,26,1,1,-13,1559.04,1403.136,205.904,0
13,0,40,1,4258,69,6,37,1,1,8,270.985,243.8865,77.0985,0
6,0,-40,1,2453,61,7,35,1,1,14,144.63,130.167,64.463,0
14,0,-40,2,3835,85,37,30,2,1,11,304.8,274.32,80.48,0
7,0,-40,1,2420,42,290,20,1,1,13,1258.48,1132.632,175.848,0
16,0,39,3,9175,124,149,45,1,1,15,967.96,871.164,146.796,0
10,0,40,1,13833,172,5,46,1,1,13,580.2,522.18,108.02,0
10,0,40,2,4575,86,7,27,1,1,7,214.44,192.996,71.444,0
9,0,40,1,5978,98,12,14,1,1,12,291.04,261.936,79.104,0
12,0,40,1,2298,57,13,19,1,1,3,146.2,131.58,64.62,0
28,0,40,4,15200,228,59,34,1,1,13,853.12,767.808,135.312,0
7,0,40,2,3155,30,488,10,1,1,4,2079.4,1871.46,257.94,0
12,0,39,1,15545,185,155,32,1,1,11,1405.35,1264.815,190.535,0
6,0,39,2,6560,89,191,28,1,1,5,1029.96,926.964,152.996,0
3,0,39,1,935,17,5,13,1,1,9,65.34,58.806,60,0
5,0,40,1,770,17,18,10,1,1,12,103.48,93.132,60.348,0
3,1,39,1,60,3,5,2,1,1,0,25.335,22.8015,60,1
6,0,39.001,1,7568,130,389,45,1,1,2,1863.92,1677.528,236.392,0
10,0,39.001,2,11525,157,16,49,2,1,10,332.05,298.845,83.205,0
11,0,39.001,2,6778,78,113,39,1,1,7,817.02,735.318,131.702,0
