complains,subs_len,charge_amount,seconds_of_use,freq_of_use,freq_of_sms,distinct_call_nums,tariff_plan,status,age,customer_value,Churn
0,38,0,4370,71.0,5.0,17.0,1,1,5,197.64,0
0,39,0,0,5.0,7.0,4.0,1,1,6,46.035,0
0,37,0,2453,60.0,359.0,24.0,1,1,2,1536.52,0
0,38,0,4198,66.0,1.0,35.0,1,1,10,240.02,0
0,32,0,2393,58.0,2.0,33.0,1,1,9,145.805,0
0,38,1,3775,82.0,32.0,0.0,1,1,15,282.28,0
0,38,0,2360,39.0,285.0,18.0,1,1,1,1235.96,0
0,37,2,9115,121.0,144.0,43.0,1,1,15,945.44,0
0,38,0,13773,169.0,73.26223776223776,44.0,1,1,15,557.68,0
0,38,1,4515,83.0,2.0,25.0,1,1,11,191.92,0
0,38,0,5918,95.0,7.0,12.0,1,1,26,268.52,0
0,38,0,2238,54.0,8.0,17.0,1,1,13,123.68,0
0,38,3,15140,225.0,54.0,32.0,1,1,0,830.6,0
0,38,1,3095,27.0,483.0,8.0,1,1,9,2056.88,0
0,37,0,15485,182.0,150.0,30.0,1,1,0,1380.015,0
0,37,1,6500,86.0,186.0,26.0,1,1,25,1007.44,0
0,37,0,875,14.0,0.0,11.0,1,1,7,40.005,1
0,38,0,710,14.0,13.0,8.0,1,1,9,80.96,0
0,37,0,0,69.49568827850527,0.0,0.0,1,1,3,0.0,1
0,37,0,7508,127.0,384.0,43.0,1,1,12,2071.575,0
0,37,1,11465,154.0,11.0,47.0,1,1,3,317.975,0
0,37,1,6718,75.0,108.0,37.0,1,1,0,791.685,0
1,33,0,955,47.0,16.0,17.0,1,1,11,117.09,1
1,36,8,10435,93.0,1.0,42.0,2,1,15,159.42,0
1,36,1,0,98.0,26.0,24.0,1,1,7,383.22,1
0,34,0,2840,22.0,0.0,14.0,1,1,15,114.48,0
0,35,0,2990,41.0,9.0,16.0,1,1,14,157.24,1
1,36,0,2268,44.0,34.0,31.0,1,1,2,228.48,1
0,36,0,133,2.0,0.0,2.0,1,1,14,5.4,1
0,36,0,1668,25.0,0.0,6.0,1,1,5,67.72,0
0,33,1,6785,97.0,14.0,22.0,1,1,1,124.23,0
1,36,0,628,7.0,9.0,4.0,1,1,0,38.375,1
0,36,1,338,4.0,4.0,2.0,1,1,0,11.13,0
0,31,3,16075,238.0,0.0,80.0,2,1,11,734.085,0
0,34,3,6965,116.0,271.0,33.0,2,1,3,1538.145,0
0,36,0,3718,82.0,2.0,28.0,1,1,2,180.0,0
0,35,0,1665,44.0,38.0,20.0,1,1,4,220.36,0
0,36,0,2780,53.0,175.0,23.0,1,1,11,914.985,0
0,32,1,1315,36.0,193.0,11.0,2,1,9,929.295,0
0,26,0,1568,39.0,30.0,68.0,1,1,2,115.175,0
0,27,0,700,25.0,10.0,7.0,1,1,5,77.625,0
0,26,0,825,10.0,21.0,3.0,1,1,15,73.375,1
0,25,0,1225,32.0,19.0,13.0,1,1,9,142.065,0
0,25,0,3225,61.0,8.0,23.0,1,1,11,163.44,0
0,32,0,1695,26.0,28.0,14.0,1,1,2,203.445,0
0,17,1,6393,141.0,85.0,42.0,2,1,7,676.53,0
0,15,0,8933,171.0,73.0,40.0,1,1,15,410.1,0
0,16,3,2853,45.0,31.0,19.0,2,1,2,239.92,0
0,9,1,4390,40.0,215.0,10.0,1,1,8,1037.2,0
0,9,1,1488,19.0,0.0,7.0,1,1,12,60.28,1
0,40,1,4430,74.0,10.0,19.0,1,1,9,220.16,0
0,41,1,378,8.0,12.0,6.0,1,1,15,63.44,0
0,39,1,2513,63.0,364.0,26.0,1,1,35,1559.04,0
0,40,1,4258,69.0,6.0,37.0,1,1,8,270.985,0
0,40,1,2453,61.0,7.0,35.0,1,1,14,144.63,0
0,40,2,3835,85.0,37.0,30.0,2,1,11,304.8,0
0,40,1,2420,42.0,290.0,20.0,1,1,13,1258.48,0
0,39,3,9175,124.0,149.0,45.0,1,1,15,967.96,0
0,40,1,13833,172.0,5.0,46.0,1,1,13,580.2,0
0,40,2,4575,86.0,7.0,27.0,1,1,7,214.44,0
0,40,1,5978,98.0,12.0,14.0,1,1,12,291.04,0
0,40,1,2298,57.0,13.0,19.0,1,1,3,146.2,0
0,40,4,15200,228.0,59.0,34.0,1,1,13,853.12,0
0,40,2,3155,30.0,488.0,10.0,1,1,4,2079.4,0
0,39,1,15545,185.0,155.0,32.0,1,1,11,1405.35,0
0,39,2,6560,89.0,191.0,28.0,1,1,5,1029.96,0
0,39,1,935,17.0,5.0,13.0,1,1,9,65.34,0
0,40,1,770,17.0,18.0,10.0,1,1,12,103.48,0
1,39,1,60,3.0,5.0,2.0,1,1,0,25.335,1
0,39,1,7568,130.0,389.0,45.0,1,1,2,1863.92,0
0,39,2,11525,157.0,16.0,49.0,2,1,10,332.05,0
0,39,2,6778,78.0,113.0,39.0,1,1,7,817.02,0
1,35,1,1015,50.0,21.0,19.0,1,1,13,126.6,1
1,38,9,10495,96.0,6.0,44.0,2,1,1,167.865,0
0,38,2,0,101.0,31.0,26.0,1,1,11,408.555,0
0,36,1,2900,25.0,5.0,16.0,1,1,11,137.0,0
0,37,1,3050,44.0,14.0,18.0,1,1,9,179.76,1
1,38,1,2328,47.0,39.0,33.0,1,1,14,251.0,1
0,38,1,193,5.0,5.0,4.0,1,1,14,27.92,1
0,38,1,1728,28.0,5.0,8.0,1,1,11,56.4,0
0,35,2,6845,100.0,19.0,24.0,1,1,11,132.675,0
0,38,1,688,10.0,14.0,6.0,1,1,14,52.45,1
0,38,2,398,7.0,9.0,4.0,1,1,0,19.575,0
0,33,4,16135,241.0,5.0,82.0,1,1,11,759.42,0
1,36,4,7025,119.0,276.0,35.0,2,1,10,1389.76,0
0,38,1,3778,85.0,7.0,30.0,1,1,7,182.52,0
0,37,1,1725,47.0,43.0,22.0,1,1,2,242.88,0
0,38,1,0,56.0,180.0,25.0,1,1,13,940.32,0
0,29,2,1375,39.0,198.0,13.0,2,1,7,848.56,0
0,28,1,1628,42.0,35.0,70.0,1,1,8,129.25,0
0,29,1,760,28.0,15.0,9.0,1,1,6,91.52,0
0,28,1,885,13.0,26.0,5.0,1,1,9,87.45,0
0,27,1,1285,35.0,24.0,15.0,1,1,15,167.4,0
0,27,1,3285,64.0,13.0,25.0,1,1,10,185.96,0
0,20,1,1755,29.0,33.0,16.0,1,1,11,228.78,0
0,19,2,6453,144.0,90.0,44.0,2,1,3,701.865,0
0,17,1,8993,174.0,78.0,42.0,1,1,7,254.505,0
0,18,4,2913,48.0,36.0,23.50254129606099,1,1,8,262.44,0
0,11,2,4450,43.0,220.0,12.0,1,1,7,1059.72,0
1,11,2,1548,22.0,5.0,9.0,1,1,9,82.8,1
0,36,0,4310,68.0,0.0,15.0,1,1,15,197.01,0
0,37,0,258,2.0,2.0,2.0,1,1,14,20.7,0
0,35,0,2393,57.0,354.0,22.0,1,1,4,1703.25,0
0,36,0,4138,63.0,0.0,33.0,1,1,0,231.055,0
0,36,0,2333,55.0,0.0,31.0,1,1,5,131.34,0
0,36,0,3715,79.0,27.0,26.0,1,1,7,259.76,0
0,36,0,2300,36.0,280.0,16.0,1,1,14,1213.44,0
0,35,1,9055,118.0,139.0,41.0,1,1,9,922.92,0
0,36,0,13713,166.0,0.0,42.0,1,1,8,555.16,0
0,36,0,4455,80.0,0.0,23.0,1,1,0,181.4,0
0,36,0,5858,92.0,2.0,10.0,1,1,9,276.75,0
1,36,0,2178,51.0,3.0,15.0,1,1,15,101.16,0
0,36,2,15080,222.0,49.0,30.0,1,1,14,808.08,0
0,36,0,0,24.0,478.0,6.0,1,1,1,2034.36,0
0,35,0,15425,179.0,145.0,28.0,1,1,9,1354.68,0
0,35,0,6440,83.0,181.0,24.0,1,1,12,984.92,0
0,35,0,815,11.0,0.0,9.0,1,1,11,37.17,0
0,36,0,650,11.0,8.0,6.0,1,1,8,65.745,0
0,35,0,0,69.49568827850527,0.0,0.0,1,1,13,0.0,1
0,35,0,7448,124.0,379.0,41.0,1,1,1,2046.24,0
0,35,0,11405,151.0,6.0,45.0,1,1,12,486.24,0
0,35,0,6658,72.0,103.0,35.0,1,1,12,766.35,0
0,31,0,895,44.0,11.0,15.0,1,1,13,91.755,1
0,34,7,10375,90.0,0.0,40.0,1,1,29,261.625,0
0,34,0,5758,95.0,21.0,22.0,1,1,28,357.885,1
